Respondent_ID,Persona_Cluster,Q1_AgeGroup,Q1_AgeRaw,Q2_Gender,Q3_Education,Q4_Employment,Q5_IncomeTier,Q6_Nationality,Q7_YearsDubai,Q8_Spreadsheet,Q8_MobileBanking,Q8_DedicatedApp,Q8_Paper,Q8_NoTracking,Q8_Other,Q9_ReviewFrequency,Q10_NumCurrencies,Q11_Remittance,Q11_FX,Q11_Ecommerce,Q11_Investment,Q11_BillSplit,Q11_Subscriptions,Q11_None,Q12_SavingsPct,Q13_DiffTrackMultiCurrency,Q13_LoseFXMoney,Q13_SavingsHabit,Q13_MultiBankTimeConsuming,Q13_DissatisifiedTools,Q13_UnexpectedExpenses,Q13_HealthUnderstanding,Q13_Overspent,Q14_BiggestChallenge,Q15_MoneyLost,Q16_AIExpenseCategorisation,Q16_MultiCurrencyTracking,Q16_SavingsGoals,Q16_RemittanceBestRate,Q16_InvestmentTracking,Q16_SubscriptionAlerts,Q16_CreditScore,Q16_HealthDashboard,Q16_ChatbotQueries,Q16_GamifiedSavings,Q17_InterfacePref,Q18_UAEBankIntegration,Q18_RemittancePlatform,Q18_CryptoWallet,Q18_WPSSalary,Q18_InvestmentPlatform,Q18_EcommTracking,Q19_PrivacyConcern,Q20_WTP_Intent,Q20_WTP_Binary,Q21_WTP_Tier,Q21_WTP_AED,Q22_PricingModel,Q23_Incentive,Q24_DownloadLikelihood,Q25_Privacy,Q25_Cost,Q25_Complexity,Q25_BankIntegration,Q25_AITrust,Q25_NoNeed,Q25_Regulatory,Q25_Other,Q26_HelpSaveMoney,Q26_AIBetterInsights,Q26_ComfortableAutocat,Q26_WouldRecommend,Q26_LikelySwitch,Q26_TrustRegulatory,Q27_CurrentSatisfaction,Q28_FWImportance,Q29_NPS,Q29_NPS_Category,Q30_EaseOfUse,Q30_AIAccuracy,Q30_RealtimeFX,Q30_CustomerSupport,Q30_DataSecurity,Q30_PersonalisedInsights,Q30_BankIntegration,Q30_Offline,Q31_ConfidenceAI,Derived_PainComposite,Derived_FeatureDesirability,Derived_AdoptionAttitude,Derived_FinancialStress,Derived_TechAffinity,Flag_FlatlineResponder,Flag_OutlierAny,Q1_AgeGroup_Label,Q2_Gender_Label,Q3_Education_Label,Q4_Employment_Label,Q5_IncomeTier_Label,Q6_Nationality_Label,Q7_YearsDubai_Label,Q9_ReviewFrequency_Label,Q10_NumCurrencies_Label,Q12_SavingsPct_Label,Q14_BiggestChallenge_Label,Q15_MoneyLost_Label,Q17_InterfacePref_Label,Q19_PrivacyConcern_Label,Q20_WTP_Intent_Label,Q21_WTP_Tier_Label,Q22_PricingModel_Label,Q23_Incentive_Label,Q29_NPS_Category_Enc,Persona_Cluster_Enc,Q5_IncomeTier_Imputed,Eng_PainGap,Eng_DigitalEngagement,Eng_ActivityBreadth,Eng_AdoptionReadiness,Flag_ValueSeeker,Eng_WTPperPain,Flag_AgeIncomeAtypical,Flag_MultiCurrencyUser
R0179,High-Earning Nomad,2,32,1,3,4,4,5,3,0,1,1,0,0,0,4,4,1,0,0,0,0,1,0,3,3,4,3,4,3,5,3,3,3,4,5,4,4,3,5,3,4,3,4,2,3,4,5,5,3,4,5,1,1,1,5,80,4,2,5,0,1,0,0,0,0,0,0,5,5,4,5,3,3,4,8,10,Promoter,5,4,4,3,4,5,5,5,1,3.5,3.7,4.17,3.75,6.0,0,0,25-34,Male,MastersMBA,BusinessOwner,20k-40k,EastAsian,3-5yrs,Quarterly,FourCurr,11-20pct,HighFees,AED301-600,Both,NotConcerned,YesDefinitely,AED61-100,AnnualSubscription,CashbackRewards,2,3,4,6.2,9.0,2,0.5569,1,22.86,0,1
R0180,Tech-Savvy Millennial,2,29,1,3,1,3,7,3,0,1,1,0,0,0,2,3,0,0,0,0,1,1,0,2,1,3,3,4,3,4,5,5,6,5,5,4,5,4,4,5,4,3,5,4,3,5,3,3,2,4,5,2,1,1,5,80,2,2,5,0,0,0,1,1,1,0,0,3,2,3,5,3,4,4,8,8,Passive,5,5,4,4,3,3,5,3,3,3.5,4.3,3.33,3.85,6.0,0,0,25-34,Male,MastersMBA,PrivateSector,10k-20k,Other,3-5yrs,Weekly,ThreeCurr,1-10pct,InvestmentInfo,AED601-1000,Both,SlightlyConcerned,YesDefinitely,AED61-100,Freemium,CashbackRewards,1,4,3,6.2,9.0,2,0.5281,1,22.86,0,0
R0181,Senior Finance Pro,3,42,1,4,1,6,4,4,0,0,0,1,0,0,2,3,1,0,1,0,1,1,0,1,1,2,2,2,1,5,4,3,2,2,4,3,5,5,3,4,4,4,3,2,3,4,3,3,4,5,3,3,3,0,5,80,4,1,5,0,0,1,1,0,0,1,0,4,3,4,5,4,5,6,7,8,Passive,5,5,4,4,5,5,5,3,5,2.5,3.7,4.17,3.65,1.0,0,0,35-44,Male,Doctoral,PrivateSector,PNS,Western,5-10yrs,Weekly,ThreeCurr,NoSavings,NoConsolidatedView,AED1-100,Both,ModeratelyConcerned,MaybeAfterTrial,AED61-100,AnnualSubscription,FreeMonthTrial,1,2,3,3.8,4.0,4,0.6169,0,32.0,0,0
R0182,Tech-Savvy Millennial,2,34,1,3,1,2,3,4,0,0,0,0,0,0,1,4,1,1,0,0,0,1,0,2,3,2,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,4,3,4,4,4,3,3,4,1,2,1,3,30,2,3,8,0,0,0,1,0,0,0,1,5,3,3,4,4,4,3,6,5,Detractor,4,4,5,3,4,3,5,3,8,3.5,3.6,3.83,4.05,1.0,0,0,25-34,Male,MastersMBA,PrivateSector,5k-10k,ArabExpat,5-10yrs,Daily,FourCurr,1-10pct,EmergencyPlanning,AED301-600,Both,NotConcerned,YesIfJustified,AED21-40,Freemium,BankIntegration,0,4,2,6.4,5.0,3,0.7881,1,8.57,0,1
R0183,High-Earning Nomad,3,35,1,3,1,5,7,2,0,0,1,0,0,0,3,4,0,0,0,0,0,0,1,1,4,4,2,2,3,4,1,3,1,5,5,4,3,3,5,3,4,5,5,3,3,5,3,3,2,5,3,3,1,1,4,50,3,4,6,0,0,0,0,1,0,0,0,4,4,4,5,4,5,5,8,8,Passive,4,4,4,4,5,4,5,5,4,2.88,4.0,4.33,4.04,4.0,0,0,35-44,Male,MastersMBA,PrivateSector,Above40k,Other,1-3yrs,Monthly,FourCurr,NoSavings,FXLosses,AED601-1000,Both,ModeratelyConcerned,YesDefinitely,AED41-60,MonthlySubscription,AIFinancialAdvice,1,3,5,4.76,7.0,0,0.6631,0,17.36,0,1
R0184,High-Earning Nomad,3,37,1,3,1,5,2,3,0,0,0,0,1,0,1,4,0,0,1,1,1,1,0,1,3,4,3,4,3,3,3,3,3,6,4,5,4,5,4,5,4,3,5,2,3,5,3,4,2,5,5,1,2,1,5,80,5,1,9,0,0,0,0,1,1,0,1,3,5,3,4,4,4,7,6,7,Passive,4,5,5,2,5,5,3,4,4,3.25,4.1,3.83,4.22,0.0,0,0,35-44,Male,MastersMBA,PrivateSector,Above40k,SouthAsian,3-5yrs,Daily,FourCurr,NoSavings,HighFees,Above1000,Both,NotConcerned,YesIfJustified,AED61-100,OneTimePurchase,FreeMonthTrial,1,3,5,5.1,7.0,4,0.7781,0,24.62,0,1
R0185,Tech-Savvy Millennial,2,33,1,2,1,2,4,2,0,1,1,0,1,1,1,4,0,1,1,0,1,0,0,1,3,4,3,4,4,4,4,3,4,5,5,3,4,4,4,5,3,4,4,3,3,5,4,4,3,3,4,2,3,0,4,50,2,3,7,1,1,0,0,1,0,0,0,5,3,4,4,5,3,4,6,7,Passive,4,5,5,4,4,4,4,3,4,3.62,3.9,4.0,4.41,5.0,0,0,25-34,Male,Bachelors,PrivateSector,5k-10k,Western,1-3yrs,Daily,FourCurr,NoSavings,EmergencyPlanning,AED601-1000,Both,SlightlyConcerned,MaybeAfterTrial,AED41-60,Freemium,BankIntegration,1,4,2,6.44,9.0,3,0.69,0,13.81,0,1
R0186,Struggling Expat,2,32,1,3,1,4,3,2,0,1,1,0,1,0,4,3,1,1,0,0,1,1,0,1,3,3,4,3,5,5,3,4,4,5,4,5,5,3,4,5,3,4,3,2,4,4,4,2,3,3,4,2,3,0,2,10,4,2,5,0,0,1,1,1,0,0,0,4,3,4,5,4,4,3,8,4,Detractor,4,4,4,4,4,3,4,4,2,3.75,3.8,4.0,4.28,5.0,0,0,25-34,Male,MastersMBA,PrivateSector,20k-40k,ArabExpat,1-3yrs,Quarterly,ThreeCurr,NoSavings,EmergencyPlanning,AED601-1000,WhatsApp,SlightlyConcerned,MaybeAfterTrial,AED1-20,AnnualSubscription,CashbackRewards,0,0,4,6.9,9.0,4,0.56,0,2.67,0,0
R0187,Cautious Saver,2,33,4,2,1,4,7,4,1,0,0,0,0,0,3,3,1,1,0,0,1,0,0,1,3,3,3,2,2,5,3,4,3,4,4,4,5,5,4,4,5,5,2,4,3,4,3,2,5,4,4,3,2,1,4,50,2,3,5,0,1,1,1,0,0,0,0,1,3,3,4,3,5,7,7,6,Detractor,5,4,5,5,5,5,5,4,4,3.12,4.2,3.17,3.96,1.0,0,0,25-34,PreferNotSay,Bachelors,PrivateSector,20k-40k,Other,5-10yrs,Monthly,ThreeCurr,NoSavings,HighFees,AED301-600,Both,ModeratelyConcerned,YesIfJustified,AED41-60,Freemium,BankIntegration,0,1,4,4.84,3.0,3,0.5319,0,16.03,0,0
R0188,Struggling Expat,3,44,2,3,3,2,1,2,1,0,0,1,0,0,3,2,1,1,1,0,0,1,0,1,5,4,4,3,4,5,4,5,4,7,4,5,5,5,4,4,2,4,4,3,3,3,4,2,3,3,4,3,2,1,2,10,2,2,5,0,0,0,1,0,0,0,0,5,5,3,5,5,2,3,7,5,Detractor,5,4,5,4,5,4,4,5,3,4.25,4.0,4.17,4.32,1.0,0,0,35-44,Female,MastersMBA,Freelancer,5k-10k,Emirati,1-3yrs,Monthly,TwoCurr,NoSavings,EmergencyPlanning,Unsure,Both,ModeratelyConcerned,YesIfJustified,AED1-20,Freemium,CashbackRewards,0,0,2,7.9,3.0,4,0.5869,1,2.35,0,0
R0189,Struggling Expat,2,34,3,4,3,4,3,2,0,0,0,0,0,0,3,3,1,1,1,0,1,1,0,1,5,3,4,3,3,5,4,5,1,5,3,5,5,5,3,5,3,4,3,3,3,5,5,2,3,3,3,1,4,0,3,30,2,1,5,0,0,0,0,0,0,1,0,4,3,4,4,5,4,3,7,6,Detractor,5,4,5,5,5,5,4,5,3,4.0,3.9,4.0,4.4,1.0,0,0,25-34,NonBinary,Doctoral,Freelancer,20k-40k,ArabExpat,1-3yrs,Monthly,ThreeCurr,NoSavings,FXLosses,AED601-1000,Both,NotConcerned,FreeOnly,AED21-40,Freemium,FreeMonthTrial,0,0,4,7.4,4.0,5,0.575,0,7.5,0,0
R0190,Tech-Savvy Millennial,2,31,1,5,1,3,4,3,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,1,3,4,4,4,3,4,3,1,2,5,4,4,3,5,4,4,4,5,4,4,3,4,4,4,4,3,5,2,2,1,6,150,2,2,10,0,0,0,1,0,0,0,0,3,4,4,4,5,4,5,4,7,Passive,5,5,4,4,4,3,5,2,4,3.25,4.1,4.0,4.03,1.0,0,1,25-34,Male,ProfQual,PrivateSector,10k-20k,Western,3-5yrs,Daily,ThreeCurr,NoSavings,NoConsolidatedView,AED601-1000,Both,SlightlyConcerned,YesIfJustified,Above100,Freemium,CashbackRewards,1,4,3,5.5,4.0,2,0.84,0,46.15,0,0
R0191,Tech-Savvy Millennial,2,29,1,3,1,4,5,3,0,1,0,0,0,0,2,3,1,1,1,0,0,1,0,1,2,4,4,2,1,3,3,4,5,6,4,3,4,4,4,3,4,5,5,5,3,4,5,4,2,4,4,3,3,0,4,50,2,5,7,0,1,0,0,0,0,0,0,5,3,4,3,5,4,5,8,9,Promoter,5,4,4,3,3,4,4,2,3,2.88,4.1,4.0,3.84,3.0,0,0,25-34,Male,MastersMBA,PrivateSector,20k-40k,EastAsian,3-5yrs,Weekly,ThreeCurr,NoSavings,Subscriptions,Above1000,Both,ModeratelyConcerned,MaybeAfterTrial,AED41-60,Freemium,ReferralDiscounts,2,4,4,4.76,6.0,4,0.675,0,17.36,0,0
R0192,High-Earning Nomad,3,42,1,3,2,3,4,2,0,0,0,1,0,0,3,3,1,1,0,0,1,1,0,1,5,5,5,5,5,5,5,5,6,4,5,5,4,4,4,3,4,4,3,3,3,5,3,5,1,3,4,1,3,0,5,80,3,2,10,0,0,0,0,0,0,0,0,3,4,5,4,5,5,1,7,10,Promoter,4,4,4,4,5,3,5,4,5,2.88,3.9,4.33,3.84,1.0,0,0,35-44,Male,MastersMBA,Government,10k-20k,Western,1-3yrs,Monthly,ThreeCurr,NoSavings,InvestmentInfo,AED301-600,Both,NotConcerned,MaybeAfterTrial,AED61-100,MonthlySubscription,CashbackRewards,2,3,3,5.56,4.0,4,0.8781,0,27.78,0,0
R0193,High-Earning Nomad,3,38,1,2,4,6,7,5,0,0,1,0,0,0,2,4,1,0,1,1,1,1,0,1,4,3,4,3,4,4,4,4,1,7,3,4,3,4,4,2,5,4,5,3,3,3,3,4,2,5,5,2,2,1,6,150,2,4,7,0,0,0,1,1,0,0,0,4,4,3,5,4,3,3,9,6,Detractor,4,4,3,4,5,5,4,5,4,3.75,3.7,3.83,4.47,4.0,0,0,35-44,Male,Bachelors,BusinessOwner,PNS,Other,MoreThan10yrs,Weekly,FourCurr,NoSavings,FXLosses,Unsure,Both,SlightlyConcerned,YesIfJustified,Above100,Freemium,AIFinancialAdvice,0,3,3,6.9,9.0,5,0.6781,1,40.0,0,1
R0194,Struggling Expat,3,40,1,3,1,2,7,5,1,0,0,1,0,0,3,2,0,1,0,1,1,1,0,2,4,4,4,3,5,5,4,5,1,4,3,4,4,4,3,4,2,5,2,4,3,5,3,2,4,2,4,4,4,0,3,30,2,1,6,1,1,0,1,1,0,0,0,5,3,3,4,4,4,3,6,5,Detractor,5,5,5,5,3,4,5,5,4,4.25,3.5,3.83,4.03,1.0,0,0,35-44,Male,MastersMBA,PrivateSector,5k-10k,Other,MoreThan10yrs,Monthly,TwoCurr,1-10pct,FXLosses,AED301-600,Both,VeryConcerned,FreeOnly,AED21-40,Freemium,FreeMonthTrial,0,0,2,7.9,5.0,4,0.6281,0,7.06,0,0
R0195,Senior Finance Pro,4,49,2,5,1,5,1,4,0,0,1,0,0,0,1,4,0,1,1,0,1,1,0,4,1,2,3,3,2,2,1,3,2,2,3,4,4,4,3,4,3,5,3,2,5,5,4,3,5,5,5,2,2,1,5,80,2,4,6,0,1,0,0,0,0,0,0,4,3,3,3,5,4,4,8,7,Passive,5,5,4,5,5,4,5,4,2,2.12,3.5,3.67,2.81,4.0,0,0,45-54,Female,ProfQual,PrivateSector,Above40k,Emirati,5-10yrs,Daily,FourCurr,21-30pct,NoConsolidatedView,AED1-100,NoPreference,SlightlyConcerned,YesIfJustified,AED61-100,Freemium,AIFinancialAdvice,1,2,5,3.44,8.0,4,0.5869,0,37.74,0,1
R0196,Senior Finance Pro,4,46,2,3,3,3,2,4,0,0,0,0,0,0,3,3,1,1,1,0,0,1,0,3,2,2,3,2,3,3,3,2,3,3,5,4,4,5,4,4,5,4,3,3,1,4,4,3,3,5,4,2,3,0,4,50,2,4,6,0,1,1,0,0,0,0,0,5,4,3,4,5,4,6,8,6,Detractor,5,4,5,5,5,5,4,3,6,2.5,4.1,4.17,3.05,1.0,0,0,45-54,Female,MastersMBA,Freelancer,10k-20k,SouthAsian,5-10yrs,Monthly,ThreeCurr,11-20pct,HighFees,AED101-300,MobileOnly,SlightlyConcerned,MaybeAfterTrial,AED41-60,Freemium,AIFinancialAdvice,0,2,3,3.8,4.0,4,0.6819,0,20.0,0,0
R0197,Cautious Saver,3,39,1,3,1,4,1,5,1,1,0,0,0,0,3,3,1,0,1,0,0,1,0,1,3,3,4,3,3,4,3,3,2,2,3,3,5,4,3,4,3,4,3,4,1,5,4,2,4,2,3,3,4,0,3,30,4,6,7,0,0,0,1,0,1,0,0,5,5,3,2,3,5,5,7,6,Detractor,4,4,4,4,5,2,4,4,1,3.25,3.6,3.83,4.03,3.0,0,0,35-44,Male,MastersMBA,PrivateSector,20k-40k,Emirati,MoreThan10yrs,Monthly,ThreeCurr,NoSavings,NoConsolidatedView,AED1-100,MobileOnly,ModeratelyConcerned,FreeOnly,AED21-40,AnnualSubscription,RegulatoryCert,0,1,4,5.5,6.0,3,0.6331,0,9.23,0,0
R0198,High-Earning Nomad,2,33,1,5,1,5,2,4,1,1,0,0,0,0,4,4,1,1,1,1,0,1,0,1,4,4,2,3,1,4,3,3,7,6,4,4,3,5,4,4,5,4,4,3,5,4,5,4,3,5,5,2,1,1,6,150,4,2,6,0,0,1,0,1,0,0,0,4,2,4,3,4,3,3,6,5,Detractor,4,5,5,4,4,5,5,5,7,3.0,4.0,3.33,4.1,3.0,0,0,25-34,Male,ProfQual,PrivateSector,Above40k,SouthAsian,5-10yrs,Quarterly,FourCurr,NoSavings,NoChallenge,Above1000,NoPreference,SlightlyConcerned,YesDefinitely,Above100,AnnualSubscription,CashbackRewards,0,3,5,5.4,9.0,5,0.6381,0,50.0,0,1
R0199,High-Earning Nomad,3,43,1,5,1,5,3,5,0,0,0,0,0,1,4,4,0,1,1,1,0,0,0,1,2,4,4,3,2,4,4,3,2,5,5,5,4,4,5,4,5,5,4,3,3,5,3,5,3,5,4,1,1,1,6,150,4,2,7,0,1,0,0,0,0,0,0,4,3,3,4,4,4,4,8,9,Promoter,5,5,4,4,4,5,4,5,6,3.25,4.4,3.67,4.22,1.0,0,0,35-44,Male,ProfQual,PrivateSector,Above40k,ArabExpat,MoreThan10yrs,Quarterly,FourCurr,NoSavings,NoConsolidatedView,AED601-1000,Both,NotConcerned,YesDefinitely,Above100,AnnualSubscription,CashbackRewards,2,3,5,5.7,6.0,3,0.6969,0,46.15,0,1
R0200,Cautious Saver,3,35,1,2,4,4,7,1,1,1,0,0,1,0,2,4,0,1,1,0,0,1,0,2,4,3,4,3,1,3,3,3,2,3,5,3,5,4,4,4,5,5,3,5,3,5,3,3,5,3,4,3,2,1,2,10,2,5,7,0,0,0,0,0,0,0,0,2,4,4,5,4,4,5,8,3,Detractor,4,3,4,4,5,4,4,4,4,3.0,4.3,3.83,3.8,2.0,0,0,35-44,Male,Bachelors,BusinessOwner,20k-40k,Other,LessThan1yr,Weekly,FourCurr,1-10pct,NoConsolidatedView,AED101-300,Both,ModeratelyConcerned,YesIfJustified,AED1-20,Freemium,ReferralDiscounts,0,1,4,5.0,7.0,3,0.6781,0,3.33,0,1
R0201,Struggling Expat,2,33,1,3,4,3,5,3,1,0,0,0,0,0,3,2,1,1,1,0,1,1,0,1,4,5,5,3,3,5,4,5,4,4,5,5,4,5,3,4,3,4,3,3,1,4,4,2,4,3,3,3,3,0,2,10,2,2,3,0,0,0,0,0,0,0,0,4,4,4,4,5,5,2,7,5,Detractor,5,4,4,4,4,4,5,5,2,4.25,3.9,4.33,4.32,1.0,0,0,25-34,Male,MastersMBA,BusinessOwner,10k-20k,EastAsian,3-5yrs,Monthly,TwoCurr,NoSavings,EmergencyPlanning,AED301-600,MobileOnly,ModeratelyConcerned,MaybeAfterTrial,AED1-20,Freemium,CashbackRewards,0,0,3,8.1,3.0,5,0.4831,0,2.35,0,0
R0202,Tech-Savvy Millennial,2,29,1,2,3,5,2,3,0,1,1,0,0,0,1,4,0,0,0,1,0,0,0,1,4,4,4,3,3,4,1,4,3,4,5,4,3,4,3,3,3,4,4,5,3,5,2,4,4,4,5,3,1,1,4,50,3,2,5,1,0,0,1,1,0,0,0,4,4,4,4,5,5,5,5,10,Promoter,5,4,4,4,3,5,4,3,3,3.38,3.8,4.33,4.29,6.0,0,1,25-34,Male,Bachelors,Freelancer,Above40k,SouthAsian,3-5yrs,Daily,FourCurr,NoSavings,HighFees,AED301-600,Both,ModeratelyConcerned,YesDefinitely,AED41-60,MonthlySubscription,CashbackRewards,2,4,5,5.76,9.0,1,0.5981,0,14.79,0,1
R0203,Tech-Savvy Millennial,2,29,1,2,1,3,2,2,0,1,1,0,0,0,5,3,1,1,1,0,0,0,0,1,4,3,5,3,3,4,1,3,6,4,4,3,4,2,4,3,4,4,4,5,3,4,4,5,4,3,5,1,1,1,5,80,2,1,7,0,1,0,1,1,0,0,0,4,5,4,5,5,4,1,8,10,Promoter,5,5,5,5,5,3,5,3,6,3.25,3.7,4.5,4.03,6.0,0,0,25-34,Male,Bachelors,PrivateSector,10k-20k,SouthAsian,1-3yrs,Rarely,ThreeCurr,NoSavings,InvestmentInfo,AED301-600,Both,NotConcerned,YesDefinitely,AED61-100,Freemium,FreeMonthTrial,2,4,3,6.3,8.0,3,0.755,0,24.62,0,0
R0204,High-Earning Nomad,4,45,3,5,3,6,4,4,0,0,1,0,0,0,3,4,1,1,1,0,1,1,0,1,5,4,3,3,4,4,3,4,6,4,4,5,4,5,5,4,5,4,2,3,3,4,5,4,3,4,4,1,1,1,6,150,4,3,5,0,0,1,0,0,1,0,0,5,3,4,3,3,4,5,8,8,Passive,4,5,5,5,3,5,5,5,3,3.75,4.1,3.67,4.47,4.0,0,0,45-54,NonBinary,ProfQual,Freelancer,PNS,Western,5-10yrs,Monthly,FourCurr,NoSavings,InvestmentInfo,AED301-600,Both,NotConcerned,YesDefinitely,Above100,AnnualSubscription,BankIntegration,1,3,3,6.5,8.0,5,0.5519,1,40.0,0,1
R0205,Struggling Expat,3,38,2,3,5,4,3,4,0,0,0,0,1,0,4,2,0,1,0,0,0,0,0,1,3,3,3,3,3,3,3,3,5,5,4,5,5,5,2,3,4,4,3,2,1,5,4,4,4,2,4,1,3,0,2,10,2,2,6,0,0,0,1,0,0,0,0,3,3,3,3,3,3,4,6,6,Detractor,3,3,3,3,3,3,3,3,6,3.5,3.7,4.17,3.95,0.0,0,0,35-44,Female,MastersMBA,PartTime,20k-40k,ArabExpat,5-10yrs,Quarterly,TwoCurr,NoSavings,Subscriptions,AED601-1000,MobileOnly,NotConcerned,MaybeAfterTrial,AED1-20,Freemium,CashbackRewards,0,0,4,6.2,2.0,1,0.6819,0,2.86,0,0
R0206,Tech-Savvy Millennial,3,35,2,3,5,3,2,3,0,0,1,0,0,0,1,3,1,0,0,0,0,1,0,2,1,3,4,3,1,4,2,4,3,4,3,4,4,4,4,5,3,3,4,4,3,4,3,3,4,4,4,2,3,0,3,30,4,2,7,1,1,0,1,0,0,0,0,4,4,5,4,5,2,5,8,8,Passive,4,4,2,3,5,5,5,3,3,2.75,3.8,4.0,3.48,4.0,0,0,35-44,Female,MastersMBA,PartTime,10k-20k,SouthAsian,3-5yrs,Daily,ThreeCurr,1-10pct,HighFees,AED301-600,Both,SlightlyConcerned,MaybeAfterTrial,AED21-40,AnnualSubscription,CashbackRewards,1,4,3,4.5,7.0,2,0.675,0,10.91,0,0
R0207,Tech-Savvy Millennial,2,27,1,2,1,3,6,3,1,1,0,1,0,0,3,2,1,1,1,1,1,0,0,1,3,2,4,2,2,4,3,4,2,3,4,5,4,5,4,4,5,5,4,3,2,4,4,2,5,4,5,2,3,0,4,50,4,3,7,1,0,0,1,1,0,0,0,3,5,4,4,4,3,4,8,9,Promoter,5,5,4,5,4,4,4,3,6,3.0,4.3,3.83,3.7,3.0,0,0,25-34,Male,Bachelors,PrivateSector,10k-20k,African,3-5yrs,Monthly,TwoCurr,NoSavings,NoConsolidatedView,AED101-300,WebOnly,SlightlyConcerned,MaybeAfterTrial,AED41-60,AnnualSubscription,BankIntegration,2,4,3,5.2,6.0,5,0.7081,0,16.67,0,0
R0208,Struggling Expat,3,36,1,3,4,2,7,5,1,0,0,0,0,0,5,2,0,0,0,0,0,0,1,1,4,5,5,1,5,5,3,4,3,6,4,4,4,5,2,4,2,4,4,3,3,4,5,3,3,2,4,3,3,0,2,10,2,3,5,0,1,1,0,1,0,0,0,4,4,4,5,5,4,2,7,7,Passive,4,4,5,4,5,4,5,4,5,4.0,3.6,4.33,4.2,1.0,0,0,35-44,Male,MastersMBA,BusinessOwner,5k-10k,Other,MoreThan10yrs,Rarely,TwoCurr,NoSavings,HighFees,Above1000,Both,ModeratelyConcerned,MaybeAfterTrial,AED1-20,Freemium,BankIntegration,1,0,2,7.6,2.0,0,0.6281,0,2.5,0,0
R0209,Tech-Savvy Millennial,2,29,1,3,1,4,2,2,0,0,1,0,0,0,2,3,0,0,0,1,0,1,0,2,4,3,3,2,2,5,2,4,3,3,3,4,5,3,3,4,3,4,5,5,3,5,4,5,3,3,3,2,1,1,3,30,6,3,6,0,0,0,0,1,1,0,0,4,3,4,4,4,4,2,8,9,Promoter,5,5,5,3,4,4,5,3,3,3.12,3.9,3.83,3.66,4.0,0,0,25-34,Male,MastersMBA,PrivateSector,20k-40k,SouthAsian,1-3yrs,Weekly,ThreeCurr,1-10pct,HighFees,AED101-300,Both,SlightlyConcerned,YesDefinitely,AED21-40,PayPerFeature,BankIntegration,2,4,4,5.84,9.0,2,0.6131,0,9.62,0,0
R0210,Tech-Savvy Millennial,3,35,1,3,1,2,6,4,0,1,1,0,0,0,1,2,1,0,1,0,0,0,0,2,5,3,4,2,2,4,2,4,6,5,4,5,4,3,3,4,4,5,5,5,1,5,3,3,2,4,4,2,2,1,4,50,3,4,8,0,0,0,0,1,0,0,0,3,4,4,5,4,3,5,6,9,Promoter,5,5,5,4,5,4,4,2,6,3.25,4.2,3.83,3.52,6.0,0,0,35-44,Male,MastersMBA,PrivateSector,5k-10k,African,5-10yrs,Daily,TwoCurr,1-10pct,InvestmentInfo,AED601-1000,MobileOnly,SlightlyConcerned,YesIfJustified,AED41-60,MonthlySubscription,AIFinancialAdvice,2,4,2,5.5,7.0,2,0.7581,0,15.38,0,0
R0211,Struggling Expat,2,30,1,2,3,3,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,2,5,4,4,4,5,3,4,3,5,3,3,1,4,5,3,4,3,5,2,3,0,3,30,2,1,6,0,1,0,1,1,0,0,0,3,3,3,3,3,3,3,7,5,Detractor,3,3,3,3,3,3,3,3,4,3.88,3.8,4.5,4.04,1.0,0,0,25-34,Male,Bachelors,Freelancer,10k-20k,SouthAsian,LessThan1yr,Monthly,ThreeCurr,1-10pct,NoConsolidatedView,AED601-1000,MobileOnly,SlightlyConcerned,MaybeAfterTrial,AED21-40,Freemium,FreeMonthTrial,0,0,3,7.16,3.0,0,0.675,0,7.73,0,0
R0212,Struggling Expat,2,30,2,1,1,4,5,4,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,2,3,5,5,2,2,5,4,5,3,7,3,5,3,5,3,4,4,4,5,4,3,4,5,3,4,1,5,3,4,0,3,30,1,5,4,0,1,0,1,1,0,1,0,5,3,4,5,4,4,3,7,4,Detractor,5,4,5,4,4,4,4,5,4,3.88,4.0,4.17,4.04,1.0,0,0,25-34,Female,HighSchool,PrivateSector,20k-40k,EastAsian,5-10yrs,Daily,ThreeCurr,1-10pct,HighFees,Unsure,Both,ModeratelyConcerned,FreeOnly,AED21-40,FreeWithAds,ReferralDiscounts,0,0,4,7.16,4.0,2,0.5519,0,7.73,0,0
